2026-06-28 17:24:24,347 | INFO     | src.api.auth | Requesting Starlink OAuth token...
2026-06-28 17:24:25,411 | INFO     | src.api.auth | OAuth token obtained successfully.
2026-06-28 17:24:25,412 | INFO     | src.api.starlink_client | Retrieving Starlink products...
2026-06-28 17:24:25,870 | INFO     | src.api.starlink_client | Products retrieved successfully.
2026-06-28 17:24:25,871 | INFO     | src.database.repository | Saving 2 products...
2026-06-28 17:24:25,871 | INFO     | src.database.connection | Connecting to SQL Server...
2026-06-28 17:24:25,997 | INFO     | src.database.connection | Connected successfully.
2026-06-28 17:24:26,015 | INFO     | src.database.connection | SQL Server connection closed.
2026-06-28 17:24:26,015 | INFO     | src.database.repository | Products saved successfully.
2026-06-28 17:24:26,015 | INFO     | src.api.starlink_client | Retrieving Starlink usage...
2026-06-28 17:24:26,552 | INFO     | src.api.starlink_client | Usage retrieved successfully.
2026-06-28 17:24:26,557 | INFO     | src.database.repository | Processing 50 service lines...
2026-06-28 17:24:26,557 | INFO     | src.database.connection | Connecting to SQL Server...
2026-06-28 17:24:26,558 | INFO     | src.database.connection | Connected successfully.
2026-06-28 17:24:26,719 | INFO     | src.database.connection | SQL Server connection closed.
2026-06-28 17:24:26,719 | INFO     | src.database.repository | Usage saved successfully.
2026-06-28 17:24:26,720 | INFO     | src.excel.exporter | Loading report data...
2026-06-28 17:24:26,720 | INFO     | src.database.connection | Connecting to SQL Server...
2026-06-28 17:24:26,720 | INFO     | src.database.connection | Connected successfully.
D:\PythonGeneral\programas\Holonet\src\excel\exporter.py:40: UserWarning: pandas only supports SQLAlchemy connectable (engine/connection) or database string URI or sqlite3 DBAPI2 connection. Other DBAPI2 objects are not tested. Please consider using SQLAlchemy.
  dataframe = pd.read_sql(
2026-06-28 17:24:26,753 | INFO     | src.database.connection | SQL Server connection closed.
2026-06-28 17:24:26,753 | INFO     | src.excel.exporter | 50 rows loaded.
2026-06-28 17:24:26,753 | INFO     | src.excel.exporter | Generating Excel: exports\Holonet_20260628_172426.xlsx
2026-06-28 17:24:26,866 | INFO     | src.excel.exporter | Excel generated successfully.
2026-06-28 17:25:24,887 | INFO     | src.api.auth | Requesting Starlink OAuth token...
2026-06-28 17:25:25,226 | INFO     | src.api.auth | OAuth token obtained successfully.
2026-06-28 17:25:25,227 | INFO     | src.api.starlink_client | Retrieving Starlink products...
2026-06-28 17:25:25,738 | INFO     | src.api.starlink_client | Products retrieved successfully.
2026-06-28 17:25:25,739 | INFO     | src.database.repository | Saving 2 products...
2026-06-28 17:25:25,739 | INFO     | src.database.connection | Connecting to SQL Server...
2026-06-28 17:25:25,740 | INFO     | src.database.connection | Connected successfully.
2026-06-28 17:25:25,767 | INFO     | src.database.connection | SQL Server connection closed.
2026-06-28 17:25:25,767 | INFO     | src.database.repository | Products saved successfully.
2026-06-28 17:25:25,767 | INFO     | src.api.starlink_client | Retrieving Starlink usage...
2026-06-28 17:25:26,256 | INFO     | src.api.starlink_client | Usage retrieved successfully.
2026-06-28 17:25:26,261 | INFO     | src.database.repository | Processing 50 service lines...
2026-06-28 17:25:26,261 | INFO     | src.database.connection | Connecting to SQL Server...
